Rank,Country,Stage,Goaldiff
1,ARGENTINA,Champion,7
2,FRANCE,Runner-up,8
3,CROATIA,Third Place,1
4,MOROCCO,Fourth Place,1
5,NETHERLANDS,Quarterfinals,6
6,ENGLAND,Quarterfinals,9
7,BRAZIL,Quarterfinals,5
8,PORTUGAL,Quarterfinals,6
9,JAPAN,Rd of 16,1
10,SENEGAL,Rd of 16,-2
11,AUSTRALIA,Rd of 16,-2
12,SWITZERLAND,Rd of 16,-4
13,SPAIN,Rd of 16,6
14,UNITED STATES,Rd of 16,-1
15,POLAND,Rd of 16,-2
16,SOUTH KOREA,Rd of 16,-3
17,GERMANY,Groups,1
18,ECUADOR,Groups,1
19,CAMEROON,Groups,0
20,URUGUAY,Groups,0
21,TUNISIA,Groups,0
22,MEXICO,Groups,-1
23,BELGIUM,Groups,-1
24,GHANA,Groups,-2
25,SAUDI ARABIA,Groups,-2
26,IRAN,Groups,-3
27,COSTA RICA,Groups,-8
28,DENMARK,Groups,-2
29,SERBIA,Groups,-3
30,WALES,Groups,-5
31,CANADA,Groups,-5
32,QATAR,Groups,-6
